feature,importance
pain_during_bowel_movements__w,0.15445974
belly_pain__w,0.15445974
distention_of_abdomen__w,0.07624974
mucoid_sputum__w,0.076245375
bruising__w,0.03818873
internal_itching__w,0.038177684
skin_peeling__w,0.037671946
blister__w,0.02515894
muscle_wasting__w,0.020501643
hip_joint_pain__w,0.018925209
continuous_feel_of_urine__w,0.018689798
visual_disturbances__w,0.018522017
weakness_in_limbs__w,0.01757057
movement_stiffness__w,0.016637594
altered_sensorium__w,0.015015207
dischromic__patches__w,0.014694984
blackheads__w,0.014449246
ulcers_on_tongue__w,0.014170689
unsteadiness__w,0.013658702
spotting__urination__w,0.012788049
dehydration__w,0.012146884
shivering__w,0.011924086
lack_of_concentration__w,0.011539606
malaise__w,0.011262156
increased_appetite__w,0.010407776
brittle_nails__w,0.009804128
palpitations__w,0.009795765
rusty_sputum__w,0.008789847
pain_behind_the_eyes__w,0.008783181
congestion__w,0.008781724
receiving_blood_transfusion__w,0.0087795565
coma__w,0.008363528
blood_in_sputum__w,0.008001801
abnormal_menstruation__w,0.007099121
red_spots_over_body__w,0.006266258
mild_fever__w,0.006244314
muscle_weakness__w,0.005872794
back_pain__w,0.00535906
high_fever__w,0.0039698007
sweating__w,0.0035380847
weight_loss__w,0.0030993624
family_history__w,0.0026055106
muscle_pain__w,0.0023957244
nausea__w,0.001306454
breathlessness__w,0.0011006147
yellowish_skin__w,0.0010870817
bladder_discomfort__w,0.00086027157
small_dents_in_nails__w,0.0008487311
knee_pain__w,0.0008426662
patches_in_throat__w,0.0008245472
watering_from_eyes__w,0.00081754115
irritation_in_anus__w,0.0008121295
history_of_alcohol_consumption__w,0.0008036178
prominent_veins_on_calf__w,0.00078543986
foul_smell_of_urine__w,0.0007127344
pus_filled_pimples__w,0.0006988867
passage_of_gases__w,0.00067213184
toxic_look_(typhos)__w,0.0006648335
spinning_movements__w,0.00065670355
nodal_skin_eruptions__w,0.00064544263
stomach_pain__w,0.00063670456
sunken_eyes__w,0.00062287267
swollen_legs__w,0.00061697623
red_sore_around_nose__w,0.00060190307
weakness_of_one_body_side__w,0.00059003494
dark_urine__w,0.00058980956
scurring__w,0.00051728275
dizziness__w,0.00051460514
yellow_crust_ooze__w,0.0005088694
itching__w,0.0005052248
depression__w,0.000499205
yellowing_of_eyes__w,0.0004864268
acidity__w,0.00048584535
fluid_overload__w,0.00044383667
neck_pain__w,0.00040417686
stiff_neck__w,0.00039846107
joint_pain__w,0.00039241352
inflammatory_nails__w,0.00038976653
swelling_of_stomach__w,0.0003491216
blurred_and_distorted_vision__w,0.00034259763
cramps__w,0.0003411912
silver_like_dusting__w,0.00033470278
bloody_stool__w,0.00033051116
loss_of_balance__w,0.00030705755
burning_micturition__w,0.00030629276
extra_marital_contacts__w,0.0002878575
continuous_sneezing__w,0.00028272407
irritability__w,0.00027066763
chest_pain__w,0.0002134566
swelling_joints__w,0.00021301337
cough__w,0.00020828238
pain_in_anal_region__w,0.00019802616
indigestion__w,0.00018481928
headache__w,0.00015974988
fatigue__w,0.00014073009
vomiting__w,0.00013078458
skin_rash__w,0.00011970778
swollen_blood_vessels__w,0.00010840086
painful_walking__w,0.000104782936
abdominal_pain__w,8.484278e-05
swelled_lymph_nodes__w,7.7827994e-05
obesity__w,6.8531794e-05
loss_of_appetite__w,6.683231e-05
fast_heart_rate__w,6.150055e-05
chills__w,5.067758e-05
restlessness__w,5.0031635e-05
diarrhoea__w,4.910561e-05
constipation__w,4.512888e-05
lethargy__w,4.3961747e-05
excessive_hunger__w,3.478545e-05
acute_liver_failure__w,2.2317092e-05
weight_gain__w,0.0
anxiety__w,0.0
yellow_urine__w,0.0
drying_and_tingling_lips__w,0.0
enlarged_thyroid__w,0.0
cold_hands_and_feets__w,0.0
sinus_pressure__w,0.0
irregular_sugar_level__w,0.0
throat_irritation__w,0.0
slurred_speech__w,0.0
swollen_extremeties__w,0.0
loss_of_smell__w,0.0
phlegm__w,0.0
polyuria__w,0.0
puffy_face_and_eyes__w,0.0
stomach_bleeding__w,0.0
receiving_unsterile_injections__w,0.0
redness_of_eyes__w,0.0
runny_nose__w,0.0
mood_swings__w,0.0
