feature,importance
irritation_in_anus__w,0.09792697
swollen_legs__w,0.09792073
history_of_alcohol_consumption__w,0.048384257
yellow_crust_ooze__w,0.048378177
internal_itching__w,0.038734794
inflammatory_nails__w,0.038733296
scurring__w,0.03678814
patches_in_throat__w,0.036330007
continuous_feel_of_urine__w,0.032746643
hip_joint_pain__w,0.027716778
mucoid_sputum__w,0.027162548
weakness_in_limbs__w,0.02569246
movement_stiffness__w,0.024280014
visual_disturbances__w,0.024009567
toxic_look_(typhos)__w,0.023996668
malaise__w,0.021804806
lack_of_concentration__w,0.021606524
altered_sensorium__w,0.021140294
ulcers_on_tongue__w,0.01994777
unsteadiness__w,0.019469235
watering_from_eyes__w,0.018338881
dehydration__w,0.016770171
spotting__urination__w,0.015969405
nodal_skin_eruptions__w,0.014962042
increased_appetite__w,0.013318712
brittle_nails__w,0.01255172
palpitations__w,0.012535685
rusty_sputum__w,0.011872388
receiving_blood_transfusion__w,0.011261194
congestion__w,0.011230525
pain_behind_the_eyes__w,0.010692823
blood_in_sputum__w,0.010276092
red_spots_over_body__w,0.009284988
high_fever__w,0.009164467
abnormal_menstruation__w,0.009012297
coma__w,0.0077217915
muscle_weakness__w,0.007539062
back_pain__w,0.0069609177
sweating__w,0.005828124
mild_fever__w,0.0052428762
family_history__w,0.003792877
weight_loss__w,0.0036899538
muscle_pain__w,0.0032924102
nausea__w,0.0022473524
dark_urine__w,0.0017670611
itching__w,0.0013408395
foul_smell_of_urine__w,0.0011112868
knee_pain__w,0.001041214
pain_during_bowel_movements__w,0.0010093431
bruising__w,0.0009661245
depression__w,0.0009442358
small_dents_in_nails__w,0.00091178686
bladder_discomfort__w,0.0009107402
blurred_and_distorted_vision__w,0.00089330063
fluid_overload__w,0.0008861077
belly_pain__w,0.0008825193
burning_micturition__w,0.0008743596
shivering__w,0.00086614356
stomach_pain__w,0.0008470811
passage_of_gases__w,0.00082265254
dischromic__patches__w,0.0008047326
sunken_eyes__w,0.0007748352
spinning_movements__w,0.00077030977
prominent_veins_on_calf__w,0.00075183605
blister__w,0.00073649694
blackheads__w,0.0007303451
weakness_of_one_body_side__w,0.00070673635
extra_marital_contacts__w,0.0006459857
breathlessness__w,0.00060086587
silver_like_dusting__w,0.000577876
dizziness__w,0.00055583013
muscle_wasting__w,0.0005442478
pus_filled_pimples__w,0.00052918744
skin_peeling__w,0.00047601204
red_sore_around_nose__w,0.0004525064
distention_of_abdomen__w,0.00045014915
swelling_of_stomach__w,0.0004306248
acidity__w,0.00042553493
neck_pain__w,0.00040699018
cramps__w,0.0004040933
bloody_stool__w,0.00039506672
continuous_sneezing__w,0.00036620235
yellowing_of_eyes__w,0.0003614573
pain_in_anal_region__w,0.00035830212
and_vomiting__w,0.00035545387
joint_pain__w,0.00034527926
stiff_neck__w,0.0003378955
swelling_joints__w,0.00030269002
yellowish_skin__w,0.0002715015
vomiting__w,0.00025626656
cough__w,0.0002401769
chest_pain__w,0.00021134423
loss_of_balance__w,0.00020458784
abdominal_pain__w,0.00017555358
fatigue__w,0.00016883962
skin_rash__w,0.00015176117
loss_of_appetite__w,0.00012938025
chills__w,0.00012685731
swollen_blood_vessels__w,0.00012453401
constipation__w,0.0001223228
obesity__w,0.00011338915
indigestion__w,0.0001010571
painful_walking__w,9.915249e-05
swelled_lymph_nodes__w,9.8616816e-05
restlessness__w,7.333561e-05
lethargy__w,7.0227325e-05
excessive_hunger__w,5.771887e-05
fast_heart_rate__w,4.7210124e-05
headache__w,4.6445806e-05
diarrhoea__w,4.4799002e-05
irritability__w,3.3917448e-05
acute_liver_failure__w,3.2293916e-05
irregular_sugar_level__w,0.0
loss_of_smell__w,0.0
cold_hands_and_feets__w,0.0
anxiety__w,0.0
drying_and_tingling_lips__w,0.0
enlarged_thyroid__w,0.0
mood_swings__w,0.0
sinus_pressure__w,0.0
runny_nose__w,0.0
severe_headache__w,0.0
receiving_unsterile_injections__w,0.0
puffy_face_and_eyes__w,0.0
redness_of_eyes__w,0.0
polyuria__w,0.0
phlegm__w,0.0
shaking_chills__w,0.0
slurred_speech__w,0.0
stomach_bleeding__w,0.0
swollen_extremeties__w,0.0
throat_irritation__w,0.0
weight_gain__w,0.0
yellow_urine__w,0.0
